学号,性别,专业,每周学习时长（小时）,上课出勤率,期中考试分数,作业完成率,期末考试分数
2023000001,男,工商管理,17.77,0.9,81.42,0.78,78.89
2023000002,男,人工智能,11.16,0.94,100.0,0.95,82.74
2023000003,男,财务管理,13.15,0.77,82.5,0.85,77.71
2023000004,女,人工智能,17.62,0.82,83.98,0.88,88.71
2023000005,男,电子商务,21.78,0.85,97.87,0.96,85.12
2023000006,男,财务管理,19.03,0.78,49.41,0.73,55.07
2023000007,女,财务管理,36.41,0.75,56.43,0.93,81.43
2023000008,女,工商管理,26.98,0.83,78.36,0.77,82.25
2023000009,男,工商管理,25.37,0.74,27.27,0.81,45.98
2023000010,男,人工智能,15.87,0.77,75.42,0.89,75.07
2023000011,男,电子商务,19.63,0.95,89.51,0.86,77.94
2023000012,女,人工智能,31.14,0.92,100.0,0.86,89.13
2023000013,女,电子商务,17.61,0.86,82.91,0.71,75.74
2023000014,女,工商管理,16.84,0.81,70.23,0.96,54.27
2023000015,女,人工智能,15.25,0.87,78.11,0.93,59.15
2023000016,男,电子商务,16.81,0.69,100.0,0.93,77.99
2023000017,女,工商管理,16.18,0.86,81.32,0.85,65.84
2023000018,男,大数据管理,25.92,0.74,67.99,0.91,74.03
2023000019,女,电子商务,27.28,0.64,56.87,0.81,57.14
2023000020,男,大数据管理,31.74,0.78,70.95,0.81,65.59
2023000021,男,工商管理,28.38,0.66,83.27,1.0,91.17
2023000022,女,财务管理,15.32,0.67,76.85,0.9,67.64
2023000023,男,工商管理,34.93,0.95,70.34,0.75,78.57
2023000024,男,人工智能,30.36,0.76,76.18,0.79,66.55
2023000025,男,电子商务,7.77,0.66,76.29,0.72,57.64
2023000026,女,工商管理,17.59,0.63,99.24,0.88,81.96
2023000027,女,人工智能,21.66,0.7,62.57,0.93,57.62
2023000028,男,工商管理,18.5,0.82,63.57,0.98,71.11
2023000029,女,工商管理,23.65,0.68,75.49,1.0,70.1
2023000030,男,大数据管理,31.16,0.96,72.47,0.8,76.26
2023000031,女,大数据管理,17.13,0.93,100.0,0.88,80.66
2023000032,男,电子商务,17.59,0.81,62.88,0.71,78.37
2023000033,男,电子商务,15.12,0.75,72.0,0.74,65.87
2023000034,男,电子商务,27.87,0.85,82.59,0.91,74.08
2023000035,女,人工智能,24.9,0.8,74.8,0.92,81.87
2023000036,男,工商管理,22.85,0.97,71.79,0.98,67.08
